branch,name
Universal Studios Florida,caro-seuss-el
Universal Studios Florida,despicable me minion mayhem
Universal Studios Florida,doctor doom's fearfall
Universal Studios Florida,dudley do-right's ripsaw falls
Universal Studios Florida,e.t. adventure
Universal Studios Florida,fast and furious - supercharged
Universal Studios Florida,flight of the hippogriff
Universal Studios Florida,hagrid's magical creatures motorbike adventure
Universal Studios Florida,harry potter and the escape from gringotts
Universal Studios Florida,harry potter and the forbidden journey
Universal Studios Florida,hogwarts express
Universal Studios Florida,hogwarts express: hogsmeade station
Universal Studios Florida,hogwarts express: king's cross station
Universal Studios Florida,hollywood rip ride rockit
Universal Studios Florida,honu of the honu ika moana
Universal Studios Florida,ika moana of the honu ika moana
Universal Studios Florida,jurassic park river adventure
Universal Studios Florida,jurassic world velocicoaster
Universal Studios Florida,kala & tai nui serpentine body slides
Universal Studios Florida,kang & kodos' twirl 'n' hurl
Universal Studios Florida,ko'okiri body plunge
Universal Studios Florida,kopiko wai winding river
Universal Studios Florida,krakatu aqua coaster
Universal Studios Florida,maku of the maku puihi round raft rides
Universal Studios Florida,men in black alien attack
Universal Studios Florida,ahno of ohyah & ohno drop slides
Universal Studios Florida,ohyah of ohyah & ohno drop slides
Universal Studios Florida,"one fish, two fish, red fish, blue fish"
Universal Studios Florida,popeye & bluto's bilge-rat barges
Universal Studios Florida,pteranodon flyers
Universal Studios Florida,puihi of the maku puihi round raft rides
Universal Studios Florida,puka uli lagoon
Universal Studios Florida,punga racers
Universal Studios Florida,race through new york starring jimmy fallon
Universal Studios Florida,raki of taniwha tubes
Universal Studios Florida,revenge of the mummy
Universal Studios Florida,runamukka reef
Universal Studios Florida,skull island: reign of kong
Universal Studios Florida,storm force accelatron
Universal Studios Florida,teawa the fearless river
Universal Studios Florida,the amazing adventures of spider-man
Universal Studios Florida,the cat in the hat
Universal Studios Florida,the high in the sky seuss trolley train ride!
Universal Studios Florida,the incredible hulk coaster
Universal Studios Florida,the reef
Universal Studios Florida,the simpsons ride
Universal Studios Florida,tonga of taniwha tubes
Universal Studios Florida,tot tiki reef
Universal Studios Florida,transformers: the ride-3d
Universal Studios Florida,waturi beach
Universal Studios Florida,woody woodpecker's nuthouse coaster
Universal Studios Japan,42nd street studio: greeting gallery
Universal Studios Japan,abby's magical party
Universal Studios Japan,abby's magical tree
Universal Studios Japan,amity boardwalk games
Universal Studios Japan,backdraft
Universal Studios Japan,banana cabana
Universal Studios Japan,bert & ernie prop shop game place
Universal Studios Japan,bert & ernie's wonder: the sea
Universal Studios Japan,big bird's big nest
Universal Studios Japan,big bird's big top circus
Universal Studios Japan,cookie monster slide
Universal Studios Japan,despicable me: minion mayhem
Universal Studios Japan,elmo's bubble bubble
Universal Studios Japan,elmo's go-go skateboard
Universal Studios Japan,elmo's little drive
Universal Studios Japan,ernie's rubber ducker race
Universal Studios Japan,festival in the park
Universal Studios Japan,flight the hippogriff
Universal Studios Japan,freeze ray sliders
Universal Studios Japan,frog choir
Universal Studios Japan,grover's construction company
Universal Studios Japan,harry potter and the forbidden journey
Universal Studios Japan,hello kitty's cupcake dream
Universal Studios Japan,hello kitty's ribbon collection
Universal Studios Japan,hollywood dream - the ride
Universal Studios Japan,hollywood dream - the ride: backdrop
Universal Studios Japan,jaws
Universal Studios Japan,jurassic park - the ride
Universal Studios Japan,mario kart: koopa's challenge
Universal Studios Japan,meet-up
Universal Studios Japan,minion rally
Universal Studios Japan,minions greeting
Universal Studios Japan,moppy's ballon trip
Universal Studios Japan,moppy's lucky dance party
Universal Studios Japan,my friend dinosaur
Universal Studios Japan,playing with curious george
Universal Studios Japan,power of pop unlimited
Universal Studios Japan,power-up band key challenges
Universal Studios Japan,sesame street 4-d movie magic
Universal Studios Japan,sesame street no limit! energy
Universal Studios Japan,sesame's big drive
Universal Studios Japan,shrek's 4-d adventure
Universal Studios Japan,sing on tour
Universal Studios Japan,snoopy's sound stage adventure
Universal Studios Japan,space fantasy - the ride
Universal Studios Japan,space killer
Universal Studios Japan,terminator 2: 3-d
Universal Studios Japan,the amazing adventures of spider-man 4k3d - the ride
Universal Studios Japan,the flying dinosaur
Universal Studios Japan,the flying snoopy
Universal Studios Japan,triwizard spirit rally
Universal Studios Japan,universal monsters live: rock and roll show
Universal Studios Japan,universal spectacle night parade: the best of  hollywood
Universal Studios Japan,wand magic
Universal Studios Japan,wand studies
Universal Studios Japan,water garden
Universal Studios Japan,water world
Universal Studios Japan,yoshi's adventure
Universal Studios Singapore,lake hollywood spectacular
Universal Studios Singapore,elmo's tv time
Universal Studios Singapore,turntables
Universal Studios Singapore,hollywood china arcade
Universal Studios Singapore,lights! camera! action! hosted by steven spielberg
Universal Studios Singapore,sesame street spaghetti space chase
Universal Studios Singapore,accelerator
Universal Studios Singapore,battlestar galactica: human
Universal Studios Singapore,battlestar galactica: cylon
Universal Studios Singapore,transformers: the ride 3d
Universal Studios Singapore,revenge of the mummy: the ride
Universal Studios Singapore,treasure hunters
Universal Studios Singapore,canopy flyer
Universal Studios Singapore,jurassic park rapids adventure
Universal Studios Singapore,waterworld: a live sea war spectacular
Universal Studios Singapore,amber rock climb
Universal Studios Singapore,dino-soarin'
Universal Studios Singapore,shrek 4-d adventure
Universal Studios Singapore,donkey live
Universal Studios Singapore,enchanted airways
Universal Studios Singapore,puss in boots' giant journey
Universal Studios Singapore,magic potion spin
Universal Studios Singapore,madagascar: a crate adventure
Universal Studios Singapore,king julien's beach party-go-round
